id,codigo,nombre,categoria,marca,precio,costo,stock,descripcion,imagen,activo,updatedAt,valor_venta_stock,inversion_stock,ganancia_unitaria,ganancia_proyectada,estado_stock,promos,notas
prod-sdc-011,SDC-011,Secador de Zapatos 2 en 1 (Seca y Quita el Mal Olor) – Temporizador hasta 120 min,Hogar,,350,0,1,"Secador de zapatos práctico para ayudar a eliminar humedad del calzado después de lluvia, lavado o uso diario. Ideal para mantener los zapatos más secos, cómodos y con mejor olor.",,True,2026-05-10T04:25:23,350,0,350,350,Disponible,,
prod-sdc-012,SDC-012,Termo Stanley Rosado,Termos / Hogar,Stanley,0,0,0,"Termo estilo Stanley color rosado, ideal para llevar bebidas frías o calientes por más tiempo. Diseño moderno, práctico y bonito para uso diario, trabajo, estudio, viajes o gimnasio.",,True,2026-05-10T04:25:23,0,0,0,0,Agotado,,
prod-sdc-013,SDC-013,"Enfriador PRO para Celular – Juega sin LAG, sin Calor",Enfriador Gamer para Celular,,360,0,1,"Enfriador PRO para celular, ideal para ayudar a controlar el calentamiento durante juegos, transmisiones o uso intenso. Recomendado para mantener el equipo más fresco y cómodo en partidas largas.",,True,2026-05-10T04:25:23,360,0,360,360,Disponible,,
prod-sdc-014,SDC-014,Enfriador o Cooler Gamer para Celular,Enfriador Gamer para Celular,,150,0,1,"Cooler gamer para celular, práctico para reducir la temperatura del teléfono mientras jugás. Ayuda a mantener un mejor rendimiento y mayor comodidad durante sesiones prolongadas.",,True,2026-05-10T04:25:23,150,0,150,150,Disponible,,
prod-sdc-015,SDC-015,Dedales SARAFOX - Hilo de Plata,Dedales,Sarafox,400,0,1,"Dedales SARAFOX con hilo de plata para gaming móvil, diseñados para brindar mejor sensibilidad, deslizamiento y precisión en pantalla. Ideales para Free Fire, PUBG Mobile, COD Mobile y juegos táctiles.",,True,2026-05-10T04:25:23,400,0,400,400,Disponible,,
prod-sdc-016,SDC-016,Dedales V2 para Gaming Móvil – Precisión y Comodidad,Dedales,,90,0,1,"Dedales V2 para gaming móvil, cómodos y ligeros para mejorar el control de los dedos en pantalla. Ayudan a reducir el sudor y facilitan movimientos más suaves durante la partida.",,True,2026-05-10T04:25:23,90,0,90,90,Disponible,,
prod-sdc-017,SDC-017,Gamepad con Cooler para Celular | Android & iOS,Controles / Gamepad,,490,0,1,"Gamepad con cooler para celular, compatible con Android y iOS según el equipo. Combina mejor agarre, controles físicos y enfriamiento para jugar con más comodidad.",,True,2026-05-10T04:25:23,490,0,490,490,Disponible,,
prod-sdc-018,SDC-018,Gamepad MEMO para Celular 4 Gatillos Personalizables Android & iOS,Controles / Gamepad,MEMO,400,0,1,"Gamepad MEMO para celular con 4 gatillos personalizables, pensado para juegos de acción y disparos. Brinda mejor control, agarre firme y una experiencia más cómoda en Android y iOS.",,True,2026-05-10T04:25:23,400,0,400,400,Disponible,,
prod-sdc-019,SDC-019,GAMEPAD CON COOLER Y JOYSTICK,Controles / Gamepad,,300,0,1,"Gamepad con cooler y joystick para celular, ideal para quienes buscan mejor control y comodidad al jugar. Su diseño ayuda a sujetar mejor el teléfono y mantenerlo más fresco.",,True,2026-05-10T04:25:23,300,0,300,300,Disponible,,
prod-sdc-020,SDC-020,Control PRO Inalámbrico Bluetooth Android / iOS / PC / Switch Turbo + Macro,Controles / Gamepad,,490,0,1,"Control PRO inalámbrico Bluetooth para Android, iOS, PC y Nintendo Switch. Incluye funciones Turbo y Macro para una experiencia más completa en juegos compatibles.",,True,2026-05-10T04:25:23,490,0,490,490,Disponible,,
prod-sdc-021,SDC-021,Control Gamer con Soporte para Celular,Controles / Gamepad,,420,0,1,"Control gamer con soporte para celular, ideal para jugar con mejor agarre y mayor precisión. Su soporte permite colocar el teléfono de forma cómoda para partidas largas.",,True,2026-05-10T04:25:23,420,0,420,420,Disponible,,
prod-sdc-022,SDC-022,Mousepad Xtech Rosa con Soporte de Muñeca 23×18cm,Mousepad,Xtech,150,0,1,"Mousepad Xtech color rosa con soporte de muñeca, tamaño 23×18 cm. Brinda una superficie cómoda para el mouse y ayuda a descansar la muñeca durante estudio, oficina o gaming casual.",,True,2026-05-10T04:25:23,150,0,150,150,Disponible,,
prod-sdc-023,SDC-023,Tira de Esponja para Puertas y Ventanas 70cm Anti Polvo e Insectos,Hogar,,80,0,1,"Tira de esponja para puertas y ventanas de 70 cm, útil para ayudar a bloquear polvo, insectos y corrientes de aire. Ideal para mejorar el sellado de espacios en el hogar.",,True,2026-05-10T04:25:23,80,0,80,80,Disponible,,
prod-sdc-024,SDC-024,Fuente de Agua para Gato o Perro 3L USB + Filtro,Mascotas,,270,0,1,Fuente de agua para gato o perro de 3 litros con conexión USB y filtro. Mantiene el agua en movimiento para incentivar a las mascotas a beber con mayor frecuencia.,,True,2026-05-10T04:25:23,270,0,270,270,Disponible,,
prod-sdc-025,SDC-025,Funda Protectora para Refrigeradora / Lavadora (Anti Polvo) + Bolsillos,Hogar,,150,0,1,"Funda protectora para refrigeradora o lavadora, ideal para ayudar a proteger contra polvo y salpicaduras. Incluye bolsillos laterales para guardar artículos pequeños del hogar.",,True,2026-05-10T04:25:23,150,0,150,150,Disponible,,
prod-sdc-026,SDC-026,Funda para Moto Impermeable Metalizada 140×240cm (Protección Sol/Lluvia/Polvo),Hogar / Automotriz,,200,0,1,"Funda para moto impermeable metalizada de 140×240 cm, diseñada para proteger contra sol, lluvia y polvo. Práctica para cuidar la motocicleta cuando permanece estacionada.",,True,2026-05-10T04:25:23,200,0,200,200,Disponible,,
prod-sdc-027,SDC-027,Juego de Destornilladores de Precisión 115 en 1 (PC y Celular),Herramientas,,300,0,1,"Juego de destornilladores de precisión 115 en 1, ideal para reparación de celulares, computadoras, laptops, consolas y electrónicos pequeños. Incluye puntas variadas para diferentes trabajos.",,True,2026-05-10T04:25:23,300,0,300,300,Disponible,,
prod-sdc-028,SDC-028,Cosmetiquera con Espejo LED | 3 tipos de luz (Natural/Fría/Cálida),Belleza,,290,0,1,"Cosmetiquera con espejo LED y 3 tipos de luz: natural, fría y cálida. Perfecta para organizar maquillaje y retocarse con mejor iluminación en casa o de viaje.",,True,2026-05-10T04:25:23,290,0,290,290,Disponible,,
prod-sdc-029,SDC-029,Afilador de Cuchillos – 3 Niveles,Cocina / Hogar,,100,0,1,"Afilador de cuchillos de 3 niveles, práctico para recuperar y mantener el filo de cuchillos de cocina. Compacto, fácil de usar y útil para el hogar.",,True,2026-05-10T04:25:23,100,0,100,100,Disponible,,
prod-sdc-030,SDC-030,Mouse Gamer X12 – 3200DPI,Mouse / Tecnología,,300,0,1,"Mouse gamer X12 de 3200 DPI, ideal para juegos, estudio y uso diario en computadora. Diseño cómodo con buen agarre para movimientos más precisos.",,True,2026-05-10T04:25:23,300,0,300,300,Disponible,,
prod-sdc-031,SDC-031,Memoria USB 3.2 – 256GB,Memorias USB,MEMO,1050,0,1,"Memoria USB 3.2 de 256GB, ideal para guardar fotos, videos, documentos, música y respaldos importantes. Portátil, práctica y fácil de usar en computadoras compatibles.",,True,2026-05-10T04:25:23,1050,0,1050,1050,Disponible,,
prod-sdc-032,SDC-032,Memoria USB 3.2 – 128GB,Memorias USB,MEMO,620,0,1,"Memoria USB 3.2 de 128GB, excelente para transportar archivos, tareas, fotos y videos. Una opción práctica para estudio, trabajo y respaldo de información.",,True,2026-05-10T04:25:23,620,0,620,620,Disponible,,
prod-sdc-033,SDC-033,Memoria USB 3.2 – 64GB,Memorias USB,MEMO,320,0,1,"Memoria USB 3.2 de 64GB, compacta y útil para guardar documentos, música, fotos y archivos de uso diario. Ideal para estudiantes, oficina y respaldo rápido.",,True,2026-05-10T04:25:23,320,0,320,320,Disponible,,
prod-sdc-034,SDC-034,Memoria USB 3.2 – 32GB,Memorias USB,MEMO,240,0,1,"Memoria USB 3.2 de 32GB, práctica para transferir y guardar documentos, tareas, fotos y archivos pequeños. Fácil de llevar y usar en computadoras compatibles.",,True,2026-05-10T04:25:23,240,0,240,240,Disponible,,
prod-sdc-035,SDC-035,Memoria USB - 16GB,Memorias USB,MEMO,190,0,1,"Memoria USB de 16GB, ideal para guardar documentos, tareas, música y archivos personales. Una opción económica y práctica para uso diario.",,True,2026-05-10T04:25:23,190,0,190,190,Disponible,,
prod-sdc-036,SDC-036,Memoria MicroSD 256GB – V30 / U3 / A1,Memorias MicroSD,MEMO,1350,0,1,"Memoria MicroSD 256GB V30 / U3 / A1, recomendada para celulares, cámaras y dispositivos compatibles. Ideal para ampliar almacenamiento y guardar fotos, videos y aplicaciones.",,True,2026-05-10T04:25:23,1350,0,1350,1350,Disponible,,
prod-sdc-037,SDC-037,Maxell MicroSD 128GB – Alta Velocidad,Memorias MicroSD,Maxell,920,0,1,"Memoria Maxell MicroSD 128GB de alta velocidad, ideal para ampliar almacenamiento en celulares, cámaras y otros equipos compatibles. Perfecta para fotos, videos y archivos.",,True,2026-05-10T04:25:23,920,0,920,920,Disponible,,
prod-sdc-038,SDC-038,Maxell MicroSD 64GB – Clase 10,Memorias MicroSD,Maxell,450,0,1,"Memoria Maxell MicroSD 64GB Clase 10, práctica para celulares, cámaras y dispositivos compatibles. Buena opción para guardar fotos, música, videos y documentos.",,True,2026-05-10T04:25:23,450,0,450,450,Disponible,,
prod-sdc-039,SDC-039,Maxell MicroSD 32GB – Clase 10,Memorias MicroSD,Maxell,290,0,1,"Memoria Maxell MicroSD 32GB Clase 10, ideal para ampliar almacenamiento en equipos compatibles. Útil para fotos, música, documentos y archivos de uso diario.",,True,2026-05-10T04:25:23,290,0,290,290,Disponible,,
prod-sdc-040,SDC-040,Maxell MicroSD 16GB – Clase 10,Memorias MicroSD,Maxell,230,0,1,"Memoria Maxell MicroSD 16GB Clase 10, opción práctica para guardar archivos básicos, música, fotos y documentos en celulares o dispositivos compatibles.",,True,2026-05-10T04:25:23,230,0,230,230,Disponible,,
prod-sdc-041,SDC-041,Ubicación Tienda SD-COMAYAGUA (Piedras Bonitas) | WhatsApp 3151-7755,Tienda / Información,,0,0,1,Publicación informativa con la ubicación de SD-COMAYAGUA en Piedras Bonitas y contacto por WhatsApp 3151-7755. Sirve para orientar al cliente y facilitar la visita a la tienda.,,True,2026-05-10T04:25:23,0,0,0,0,Disponible,,
